,0
0,Afghanistan
1,Albania
2,Algeria
3,Andorra
4,Angola
5,Antigua and Barbuda
6,Argentina
7,Armenia
8,Aruba
9,Australia
10,Austria
11,Azerbaijan
12,Bahamas
13,Bahrain
14,Bangladesh
15,Barbados
16,Belarus
17,Belgium
18,Belize
19,Benin
20,Bermuda
21,Bhutan
22,Bolivia
23,Bosnia and Herzegovina
24,Botswana
25,Brazil
26,Brunei
27,Bulgaria
28,Burkina Faso
29,Burma (Myanmar)
30,Burundi
31,Cambodia
32,Cameroon
33,Canada
34,Cape Verde
35,Central African Republic
36,Chad
37,Chile
38,China
39,Colombia
40,Comoros
41,Costa Rica
42,Croatia
43,Cuba
44,Cyprus
45,Czechia
46,Democratic Republic of the Congo
47,Denmark
48,Djibouti
49,Dominica
50,Dominican Republic
51,Ecuador
52,Egypt
53,El Salvador
54,Equatorial Guinea
55,Eritrea
56,Estonia
57,Ethiopia
58,Fiji
59,Finland
60,France
61,Gabon
62,Gambia
63,Georgia
64,Germany
65,Ghana
66,Greece
67,Grenada
68,Guatemala
69,Guinea
70,Guinea-Bissau
71,Guyana
72,Haiti
73,Honduras
74,Hong Kong
75,Hungary
76,Iceland
77,India
78,Indonesia
79,Iran
80,Iraq
81,Ireland
82,Israel
83,Italy
84,Ivory Coast
85,Jamaica
86,Japan
87,Jordan
88,Kazakhstan
89,Kenya
90,Kiribati
91,Kuwait
92,Kyrgyzstan
93,Laos
94,Latvia
95,Lebanon
96,Lesotho
97,Liberia
98,Libya
99,Liechtenstein
100,Lithuania
101,Luxembourg
102,Madagascar
103,Malawi
104,Malaysia
105,Maldives
106,Mali
107,Malta
108,Mauritania
109,Mauritius
110,Mexico
111,Micronesia
112,Moldova
113,Mongolia
114,Montenegro
115,Montserrat
116,Morocco
117,Mozambique
118,Namibia
119,Nepal
120,Netherlands
121,New Zealand
122,Nicaragua
123,Niger
124,Nigeria
125,North Korea
126,North Macedonia
127,Norway
128,Oman
129,Pakistan
130,Palau
131,Palestine
132,Panama
133,Papua New Guinea
134,Paraguay
135,Peru
136,Philippines
137,Poland
138,Portugal
139,Puerto Rico
140,Qatar
141,Republic of the Congo
142,Romania
143,Russia
144,Rwanda
145,Saint Lucia
146,Saint Vincent and the Grenadines
147,Samoa
148,Sao Tome and Principe
149,Saudi Arabia
150,Senegal
151,Serbia
152,Seychelles
153,Sierra Leone
154,Singapore
155,Slovakia
156,Slovenia
157,Solomon Islands
158,Somalia
159,South Africa
160,South Korea
161,Spain
162,Sri Lanka
163,Sudan
164,Suriname
165,Swaziland
166,Sweden
167,Switzerland
168,Syria
169,Taiwan
170,Tajikistan
171,Tanzania
172,Thailand
173,Togo
174,Tonga
175,Trinidad and Tobago
176,Tunisia
177,Turkey
178,Turkmenistan
179,Tuvalu
180,Uganda
181,Ukraine
182,United Arab Emirates
183,United Kingdom
184,Uruguay
185,USA
186,Uzbekistan
187,Vanuatu
188,Venezuela
189,Vietnam
190,Yemen
191,Zambia
192,Zimbabwe
193,Euro area
194,Faroe Islands
195,Gibraltar
196,Macao
197,Monaco
198,New Caledonia
199,San Marino
200,Norfolk Island
201,Holy See (Vatican City)
